mouse_ens_id	mouse_gene_symbol	human_ens_id	human_gene_symbol	human_chromosome	human_gene_start_bp
ENSMUSG00000078486	Perm1	ENSG00000187642	PERM1	1	975204
ENSMUSG00000064341	mt-Nd1	ENSG00000198888	MT-ND1	MT	3307
ENSMUSG00000029034	Cpsf3l	ENSG00000127054	INTS11	1	1311585
ENSMUSG00000064363	mt-Nd4	ENSG00000198886	MT-ND4	MT	10760
ENSMUSG00000029073	Cptp	ENSG00000224051	CPTP	1	1324756
ENSMUSG00000078487	Ankrd65	ENSG00000235098	ANKRD65	1	1418420
ENSMUSG00000110404	NA	ENSG00000237330	RNF223	1	1070967
ENSMUSG00000059939	9430015G10Rik	ENSG00000131591	C1orf159	1	1081818
ENSMUSG00000050796	B3galt6	ENSG00000176022	B3GALT6	1	1232237
ENSMUSG00000035692	Isg15	ENSG00000187608	ISG15	1	1001138
ENSMUSG00000065947	mt-Nd4l	ENSG00000212907	MT-ND4L	MT	10470
ENSMUSG00000064368	mt-Nd6	ENSG00000198695	MT-ND6	MT	14149
ENSMUSG00000029054	Gabrd	ENSG00000187730	GABRD	1	2019329
ENSMUSG00000095567	Noc2l	ENSG00000188976	NOC2L	1	944203
ENSMUSG00000088668	Gm25335	ENSG00000253022	RNU6-731P	1	6540854
ENSMUSG00000028996	Rbp7	ENSG00000162444	RBP7	1	9997206
ENSMUSG00000029026	Trp73	ENSG00000078900	TP73	1	3652516
ENSMUSG00000028957	Per3	ENSG00000049246	PER3	1	7784320
ENSMUSG00000062064	Slc2a7	ENSG00000197241	SLC2A7	1	9003300
ENSMUSG00000028992	Nmnat1	ENSG00000173614	NMNAT1	1	9943428
ENSMUSG00000028937	Acot7	ENSG00000097021	ACOT7	1	6264269
ENSMUSG00000028931	Kcnab2	ENSG00000069424	KCNAB2	1	5990927
ENSMUSG00000065493	Mir34a	ENSG00000284357	MIR34A	1	9151668
ENSMUSG00000029030	Tprgl	ENSG00000158109	TPRG1L	1	3625015
ENSMUSG00000039546	Ajap1	ENSG00000196581	AJAP1	1	4654609
ENSMUSG00000039523	Cep104	ENSG00000116198	CEP104	1	3812086
ENSMUSG00000028952	Zbtb48	ENSG00000204859	ZBTB48	1	6579994
ENSMUSG00000028982	Slc25a33	ENSG00000171612	SLC25A33	1	9539465
ENSMUSG00000028936	Rpl22	ENSG00000116251	RPL22	1	6185020
ENSMUSG00000039953	Clstn1	ENSG00000171603	CLSTN1	1	9728926
ENSMUSG00000044700	Tmem201	ENSG00000188807	TMEM201	1	9588911
ENSMUSG00000028960	Ube4b	ENSG00000130939	UBE4B	1	10032832
ENSMUSG00000029027	Dffb	ENSG00000169598	DFFB	1	3857267
ENSMUSG00000088259	Gm24290	ENSG00000202415	RN7SKP269	1	9947318
ENSMUSG00000057751	Megf6	ENSG00000162591	MEGF6	1	3487951
ENSMUSG00000039577	Nphp4	ENSG00000131697	NPHP4	1	5862811
ENSMUSG00000047875	Gpr157	ENSG00000180758	GPR157	1	9100305
ENSMUSG00000028967	Errfi1	ENSG00000116285	ERRFI1	1	8004404
ENSMUSG00000029056	Pank4	ENSG00000157881	PANK4	1	2508537
ENSMUSG00000028964	Park7	ENSG00000116288	PARK7	1	7954291
ENSMUSG00000029032	Arhgef16	ENSG00000130762	ARHGEF16	1	3454665
ENSMUSG00000028990	Lzic	ENSG00000162441	LZIC	1	9922113
ENSMUSG00000042804	Gpr153	ENSG00000158292	GPR153	1	6247353
ENSMUSG00000028948	Nol9	ENSG00000162408	NOL9	1	6521347
ENSMUSG00000073700	Klhl21	ENSG00000162413	KLHL21	1	6590724
ENSMUSG00000005045	Chd5	ENSG00000116254	CHD5	1	6101787
ENSMUSG00000028980	H6pd	ENSG00000049239	H6PD	1	9234774
ENSMUSG00000039838	Slc45a1	ENSG00000162426	SLC45A1	1	8317826
ENSMUSG00000028950	Tas1r1	ENSG00000173662	TAS1R1	1	6555307
ENSMUSG00000047777	Phf13	ENSG00000116273	PHF13	1	6613731
ENSMUSG00000028943	Espn	ENSG00000187017	ESPN	1	6424776
ENSMUSG00000028946	Hes3	ENSG00000173673	HES3	1	6244179
ENSMUSG00000028963	Uts2	ENSG00000049247	UTS2	1	7843083
ENSMUSG00000058183	Mmel1	ENSG00000142606	MMEL1	1	2590639
ENSMUSG00000039852	Rere	ENSG00000142599	RERE	1	8352397
ENSMUSG00000058498	Rnf207	ENSG00000158286	RNF207	1	6205475
ENSMUSG00000063524	Eno1	ENSG00000074800	ENO1	1	8861000
ENSMUSG00000029059	Fam213b	ENSG00000157870	PRXL2B	1	2586491
ENSMUSG00000047613	A430005L14Rik	ENSG00000198912	C1orf174	1	3889125
ENSMUSG00000014592	Camta1	ENSG00000171735	CAMTA1	1	6785454
ENSMUSG00000088914	Gm22605	ENSG00000251977	RNU6-991P	1	8292157
ENSMUSG00000078350	Smim1	ENSG00000235169	SMIM1	1	3772655
ENSMUSG00000028955	Vamp3	ENSG00000049245	VAMP3	1	7771296
ENSMUSG00000039662	Icmt	ENSG00000116237	ICMT	1	6221193
ENSMUSG00000039410	Prdm16	ENSG00000142611	PRDM16	1	3069168
ENSMUSG00000099205	Gm27944	ENSG00000201725	RNU6-304P	1	8883427
ENSMUSG00000039768	Dnajc11	ENSG00000007923	DNAJC11	1	6634168
ENSMUSG00000088210	Gm22084	ENSG00000253022	RNU6-731P	1	6540854
ENSMUSG00000046637	Ttc34	ENSG00000215912	TTC34	1	2635976
ENSMUSG00000039759	Thap3	ENSG00000041988	THAP3	1	6624866
ENSMUSG00000028940	Hes2	ENSG00000069812	HES2	1	6412418
ENSMUSG00000039936	Pik3cd	ENSG00000171608	PIK3CD	1	9651731
ENSMUSG00000063077	Kif1b	ENSG00000054523	KIF1B	1	10210570
ENSMUSG00000042333	Tnfrsf14	ENSG00000157873	TNFRSF14	1	2555639
ENSMUSG00000028988	Ctnnbip1	ENSG00000178585	CTNNBIP1	1	9848276
ENSMUSG00000029029	Wrap73	ENSG00000116213	WRAP73	1	3630767
ENSMUSG00000088403	Gm25888	ENSG00000202415	RN7SKP269	1	9947318
ENSMUSG00000029055	Plch2	ENSG00000149527	PLCH2	1	2425980
ENSMUSG00000039492	Ccdc27	ENSG00000162592	CCDC27	1	3746460
ENSMUSG00000028965	Tnfrsf9	ENSG00000049249	TNFRSF9	1	7915871
ENSMUSG00000029028	Lrrc47	ENSG00000130764	LRRC47	1	3778559
ENSMUSG00000051276	Actrt2	ENSG00000169717	ACTRT2	1	3021467
ENSMUSG00000059040	Eno1b	ENSG00000074800	ENO1	1	8861000
ENSMUSG00000028976	Slc2a5	ENSG00000142583	SLC2A5	1	9035106
ENSMUSG00000024793	Tnfrsf25	ENSG00000215788	TNFRSF25	1	6460786
ENSMUSG00000039713	Plekhg5	ENSG00000171680	PLEKHG5	1	6467122
ENSMUSG00000028972	Car6	ENSG00000131686	CA6	1	8945867
ENSMUSG00000039911	Spsb1	ENSG00000171621	SPSB1	1	9292894
ENSMUSG00000048001	Hes5	ENSG00000197921	HES5	1	2528745
ENSMUSG00000088532	Gm22706	ENSG00000200975	RNU1-7P	1	8206434
ENSMUSG00000066027	Gm10436	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000066027	Gm10436	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000066027	Gm10436	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000078512	Pramef6	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000078512	Pramef6	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000078512	Pramef6	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000078512	Pramef6	ENSG00000120952	PRAMEF2	1	12857086
ENSMUSG00000066688	Gm13083	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000066688	Gm13083	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000066688	Gm13083	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000095409	Gm13043	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000095409	Gm13043	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000095409	Gm13043	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000073723	Gm13102	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000073723	Gm13102	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000073723	Gm13102	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000029009	Mthfr	ENSG00000177000	MTHFR	1	11785723
ENSMUSG00000029022	Miip	ENSG00000116691	MIIP	1	12019466
ENSMUSG00000065367	Gm24410	ENSG00000207451	RNU6-291P	1	11226254
ENSMUSG00000078505	Gm436	ENSG00000204518	AADACL4	1	12644547
ENSMUSG00000070577	Gm572	ENSG00000175262	C1orf127	1	10946471
ENSMUSG00000078626	Gm12790	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000078626	Gm12790	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000078626	Gm12790	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000046435	Gm13078	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000046435	Gm13078	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000046435	Gm13078	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000072821	Gm6351	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000072821	Gm6351	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000072821	Gm6351	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000072821	Gm6351	ENSG00000120952	PRAMEF2	1	12857086
ENSMUSG00000092166	Gm7942	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000092166	Gm7942	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000092166	Gm7942	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000092166	Gm7942	ENSG00000120952	PRAMEF2	1	12857086
ENSMUSG00000089450	Gm24225	ENSG00000253086	RNU6-537P	1	11152350
ENSMUSG00000044496	2510039O18Rik	ENSG00000116685	KIAA2013	1	11919591
ENSMUSG00000066030	Oog2	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000066030	Oog2	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000066030	Oog2	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000079423	Gm3286	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000079423	Gm3286	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000079423	Gm3286	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000079423	Gm3286	ENSG00000120952	PRAMEF2	1	12857086
ENSMUSG00000095074	Gm3139	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000095074	Gm3139	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000095074	Gm3139	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000074011	Gm7682	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000074011	Gm7682	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000074011	Gm7682	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000096742	Gm6367	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000096742	Gm6367	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000096742	Gm6367	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000096742	Gm6367	ENSG00000120952	PRAMEF2	1	12857086
ENSMUSG00000078511	Pramef25	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000078511	Pramef25	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000078511	Pramef25	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000041544	Ptchd2	ENSG00000204624	DISP3	1	11479155
ENSMUSG00000072822	BC061212	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000072822	BC061212	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000072822	BC061212	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000028991	Mtor	ENSG00000198793	MTOR	1	11106535
ENSMUSG00000028979	Masp2	ENSG00000009724	MASP2	1	11026523
ENSMUSG00000041459	Tardbp	ENSG00000120948	TARDBP	1	11012344
ENSMUSG00000094043	Gm3176	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000094043	Gm3176	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000094043	Gm3176	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000059218	Gm13084	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000059218	Gm13084	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000059218	Gm13084	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000066026	Dhrs3	ENSG00000162496	DHRS3	1	12567910
ENSMUSG00000029003	Mad2l2	ENSG00000116670	MAD2L2	1	11674480
ENSMUSG00000094668	Gm24871	ENSG00000199347	RNU5E-1	1	11908152
ENSMUSG00000073497	AA792892	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000073497	AA792892	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000073497	AA792892	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000073497	AA792892	ENSG00000120952	PRAMEF2	1	12857086
ENSMUSG00000095718	Gm6502	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000095718	Gm6502	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000095718	Gm6502	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000072814	Gm7982	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000072814	Gm7982	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000072814	Gm7982	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000070677	D5Ertd577e	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000070677	D5Ertd577e	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000070677	D5Ertd577e	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000006442	Srm	ENSG00000116649	SRM	1	11054584
ENSMUSG00000095954	Gm3183	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000095954	Gm3183	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000095954	Gm3183	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000095996	Gm16513	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000095996	Gm16513	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000095996	Gm16513	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000095996	Gm16513	ENSG00000120952	PRAMEF2	1	12857086
ENSMUSG00000028591	Pramef12	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000028591	Pramef12	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000028591	Pramef12	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000046133	C130073F10Rik	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000046133	C130073F10Rik	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000046133	C130073F10Rik	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000028961	Pgd	ENSG00000142657	PGD	1	10398592
ENSMUSG00000029020	Mfn2	ENSG00000116688	MFN2	1	11980181
ENSMUSG00000066031	Gm13023	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000066031	Gm13023	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000066031	Gm13023	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000066031	Gm13023	ENSG00000120952	PRAMEF2	1	12857086
ENSMUSG00000029016	Clcn6	ENSG00000011021	CLCN6	1	11806096
ENSMUSG00000029005	Draxin	ENSG00000162490	DRAXIN	1	11691710
ENSMUSG00000078509	Pramef17	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000078509	Pramef17	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000078509	Pramef17	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000078509	Pramef17	ENSG00000120952	PRAMEF2	1	12857086
ENSMUSG00000070618	BC080695	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000070618	BC080695	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000070618	BC080695	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000047719	Ubiad1	ENSG00000120942	UBIAD1	1	11273198
ENSMUSG00000094312	Gm23242	ENSG00000207451	RNU6-291P	1	11226254
ENSMUSG00000078510	Gm13101	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000078510	Gm13101	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000078510	Gm13101	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000096280	Gm23287	ENSG00000199347	RNU5E-1	1	11908152
ENSMUSG00000078508	Gm13128	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000078508	Gm13128	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000078508	Gm13128	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000070619	Gm13119	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000070619	Gm13119	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000070619	Gm13119	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000070619	Gm13119	ENSG00000120952	PRAMEF2	1	12857086
ENSMUSG00000096154	Gm13057	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000096154	Gm13057	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000096154	Gm13057	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000096154	Gm13057	ENSG00000120952	PRAMEF2	1	12857086
ENSMUSG00000096044	Gm16427	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000096044	Gm16427	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000096044	Gm16427	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000096230	Gm16429	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000096230	Gm16429	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000096230	Gm16429	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000028975	Pex14	ENSG00000142655	PEX14	1	10472288
ENSMUSG00000047799	Oog4	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000047799	Oog4	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000047799	Oog4	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000095503	Gm3147	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000095503	Gm3147	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000095503	Gm3147	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000094195	Gm6509	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000094195	Gm6509	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000094195	Gm6509	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000072813	E330014E10Rik	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000072813	E330014E10Rik	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000072813	E330014E10Rik	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000072813	E330014E10Rik	ENSG00000120952	PRAMEF2	1	12857086
ENSMUSG00000028593	9430007A20Rik	ENSG00000204518	AADACL4	1	12644547
ENSMUSG00000041735	Gm13178	ENSG00000204518	AADACL4	1	12644547
ENSMUSG00000028602	Tnfrsf8	ENSG00000120949	TNFRSF8	1	12063303
ENSMUSG00000055401	Fbxo6	ENSG00000116663	FBXO6	1	11664200
ENSMUSG00000041805	Pramel1	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000041805	Pramel1	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000041805	Pramel1	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000041805	Pramel1	ENSG00000120952	PRAMEF2	1	12857086
ENSMUSG00000046262	C87977	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000046262	C87977	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000046262	C87977	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000070617	Gm13089	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000070617	Gm13089	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000070617	Gm13089	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000095676	Gm25099	ENSG00000199347	RNU5E-1	1	11908152
ENSMUSG00000029019	Nppb	ENSG00000120937	NPPB	1	11857464
ENSMUSG00000078625	Gm12789	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000078625	Gm12789	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000078625	Gm12789	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000078625	Gm12789	ENSG00000120952	PRAMEF2	1	12857086
ENSMUSG00000050810	Oog3	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000050810	Oog3	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000050810	Oog3	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000028589	1700012P22Rik	ENSG00000157330	C1orf158	1	12746200
ENSMUSG00000107392	NA	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000107392	NA	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000107392	NA	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000107392	NA	ENSG00000120952	PRAMEF2	1	12857086
ENSMUSG00000096139	Gm7978	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000096139	Gm7978	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000096139	Gm7978	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000096139	Gm7978	ENSG00000120952	PRAMEF2	1	12857086
ENSMUSG00000020220	Vps13d	ENSG00000048707	VPS13D	1	12230030
ENSMUSG00000037028	Gm12800	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000037028	Gm12800	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000037028	Gm12800	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000070890	Gm12794	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000070890	Gm12794	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000070890	Gm12794	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000070686	C87414	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000070686	C87414	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000070686	C87414	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000028599	Tnfrsf1b	ENSG00000028137	TNFRSF1B	1	12166991
ENSMUSG00000096066	Gm10424	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000096066	Gm10424	ENSG00000116721	PRAMEF1	1	12791397
ENSMUSG00000096066	Gm10424	ENSG00000239810	PRAMEF11	1	12824605
ENSMUSG00000096066	Gm10424	ENSG00000120952	PRAMEF2	1	12857086
ENSMUSG00000078507	Aadacl3	ENSG00000188984	AADACL3	1	12716110
ENSMUSG00000017264	Exosc10	ENSG00000171824	EXOSC10	1	11066618
ENSMUSG00000094560	Gm16522	ENSG00000116726	PRAMEF12	1	12773738
ENSMUSG00000094560	Gm16522	ENSG00000116721	PRAMEF1	1	12791397
